game_id,date,home_team,away_team,actual_h1,predicted_h1,error,abs_error,actual_fg,h1_fg_ratio
401169789,2019-11-13,Xavier Musketeers,Missouri Tigers,49,61.6,12.600000000000001,12.600000000000001,121,0.4049586776859504
401169820,2019-11-13,South Alabama Jaguars,Auburn Tigers,68,71.7,3.700000000000003,3.700000000000003,139,0.4892086330935252
401168179,2019-11-14,Louisville Cardinals,Indiana State Sycamores,73,65.4,-7.599999999999994,7.599999999999994,153,0.477124183006536
401169613,2019-11-14,Texas Tech Red Raiders,Houston Christian Huskies,93,63.3,-29.700000000000003,29.700000000000003,177,0.5254237288135594
401169823,2019-11-13,VCU Rams,LSU Tigers,88,70.1,-17.900000000000006,17.900000000000006,166,0.5301204819277109
401169825,2019-11-15,Florida Gators,Towson Tigers,60,66.2,6.200000000000003,6.200000000000003,126,0.47619047619047616
401169615,2019-11-16,Kansas Jayhawks,Monmouth Hawks,80,64.6,-15.400000000000006,15.400000000000006,169,0.47337278106508873
401169828,2019-11-16,Texas A&M Aggies,Gonzaga Bulldogs,59,67.1,8.099999999999994,8.099999999999994,128,0.4609375
401173658,2019-11-16,Utah State Aggies,North Carolina A&T Aggies,61,67.1,6.099999999999994,6.099999999999994,135,0.45185185185185184
401169790,2019-11-16,Xavier Musketeers,Missouri State Bears,62,61.6,-0.3999999999999986,0.3999999999999986,115,0.5391304347826087
401169614,2019-11-16,Baylor Bears,Texas State Bobcats,60,60.8,0.7999999999999972,0.7999999999999972,135,0.4444444444444444
401166072,2019-11-16,Maryland Terrapins,Oakland Golden Grizzlies,57,64.2,7.200000000000003,7.200000000000003,130,0.43846153846153846
401170576,2019-11-17,Colorado Buffaloes,San Diego Toreros,57,61.6,4.600000000000001,4.600000000000001,124,0.4596774193548387
401168443,2019-11-17,Saint Louis Billikens,Seton Hall Pirates,77,65.0,-12.0,12.0,149,0.5167785234899329
401170582,2019-11-18,Oregon Ducks,UT Arlington Mavericks,65,65.6,0.5999999999999943,0.5999999999999943,114,0.5701754385964912
401171562,2019-11-18,Saint Mary's Gaels,Cal Poly Mustangs,67,65.6,-1.4000000000000057,1.4000000000000057,127,0.5275590551181102
401170580,2019-11-17,Arizona Wildcats,New Mexico State Aggies,64,67.0,3.0,3.0,136,0.47058823529411764
401173661,2019-11-19,Utah State Aggies,UTSA Roadrunners,70,69.4,-0.5999999999999943,0.5999999999999943,132,0.5303030303030303
