========================================================================
 Historical NCAAB Odds Fetcher
========================================================================
 Season: 2024 (2023-11-01 to 2024-04-30)
 March Madness window: 2024-03-15 to 2024-04-08
 Bookmakers: all
 Markets: spreads,totals,spreads_h1,totals_h1,h2h
 Job ID: o4
 Source: The Odds API (https://the-odds-api.com)
========================================================================

[INFO] Fetching 2023-11-01...
  [API] Requests remaining: 23357593
  Found 2 events
    Central Connecticut St Blue Devils @ Rhode Island Rams (betrivers): spread=-11.0, total=134.0, h1_spread=-7.0, h1_total=None
    Central Connecticut St Blue Devils @ Rhode Island Rams (barstool): spread=-10.5, total=133.5, h1_spread=None, h1_total=None
    Central Connecticut St Blue Devils @ Rhode Island Rams (fanduel): spread=-10.5, total=134.5, h1_spread=-5.5, h1_total=63.5
    Central Connecticut St Blue Devils @ Rhode Island Rams (lowvig): spread=-10.0, total=134.0, h1_spread=None, h1_total=None
    Central Connecticut St Blue Devils @ Rhode Island Rams (bovada): spread=-11.0, total=134.0, h1_spread=-6.5, h1_total=63.0
    Central Connecticut St Blue Devils @ Rhode Island Rams (williamhill_us): spread=-11.0, total=134.0, h1_spread=-6.5, h1_total=63.0
    Central Connecticut St Blue Devils @ Rhode Island Rams (superbook): spread=-11.0, total=134.0, h1_spread=None, h1_total=None
    Central Connecticut St Blue Devils @ Rhode Island Rams (betmgm): spread=-10.5, total=134.5, h1_spread=None, h1_total=None
    Iona Gaels @ Charleston Cougars (draftkings): spread=-7.0, total=157.0, h1_spread=-3.5, h1_total=73.0
    Iona Gaels @ Charleston Cougars (williamhill_us): spread=-7.0, total=156.5, h1_spread=-3.5, h1_total=73.5
    Iona Gaels @ Charleston Cougars (barstool): spread=-6.5, total=156.5, h1_spread=None, h1_total=None
    Iona Gaels @ Charleston Cougars (twinspires): spread=-6.5, total=156.0, h1_spread=None, h1_total=None
    Iona Gaels @ Charleston Cougars (unibet_us): spread=-6.5, total=156.0, h1_spread=-3.5, h1_total=None
    Iona Gaels @ Charleston Cougars (betrivers): spread=-6.5, total=156.0, h1_spread=-3.5, h1_total=None
