========================================================================
 Historical NCAAB Odds Fetcher
========================================================================
 Season: 2025 (2024-11-01 to 2025-04-30)
 March Madness window: 2025-03-15 to 2025-04-08
 Bookmakers: all
 Markets: spreads,totals,spreads_h1,totals_h1,h2h
 Job ID: o5
 Source: The Odds API (https://the-odds-api.com)
========================================================================

[INFO] Fetching 2024-11-01...
  [API] Requests remaining: 23357592
  Found 7 events
    Stony Brook Seawolves @ Marquette Golden Eagles (betrivers): spread=-24.0, total=147.5, h1_spread=None, h1_total=None
    Stony Brook Seawolves @ Marquette Golden Eagles (bovada): spread=-23.0, total=148.0, h1_spread=-14.0, h1_total=70.5
    Stony Brook Seawolves @ Marquette Golden Eagles (betus): spread=-23.0, total=148.5, h1_spread=-14.0, h1_total=70.5
    UNC Asheville Bulldogs @ Alabama Crimson Tide (draftkings): spread=-27.5, total=164.5, h1_spread=-16.5, h1_total=79.0
    UNC Asheville Bulldogs @ Alabama Crimson Tide (fanduel): spread=-27.5, total=164.5, h1_spread=-17.5, h1_total=78.5
    UNC Asheville Bulldogs @ Alabama Crimson Tide (betmgm): spread=-27.5, total=164.5, h1_spread=None, h1_total=78.5
    UNC Asheville Bulldogs @ Alabama Crimson Tide (betrivers): spread=-28.5, total=163.0, h1_spread=None, h1_total=None
    UNC Asheville Bulldogs @ Alabama Crimson Tide (lowvig): spread=-27.5, total=164.0, h1_spread=None, h1_total=None
    UNC Asheville Bulldogs @ Alabama Crimson Tide (betonlineag): spread=-27.5, total=164.0, h1_spread=None, h1_total=None
    UNC Asheville Bulldogs @ Alabama Crimson Tide (bovada): spread=-27.0, total=164.5, h1_spread=-16.5, h1_total=79.0
    Elon Phoenix @ North Carolina Tar Heels (fanduel): spread=-27.5, total=152.5, h1_spread=-15.5, h1_total=72.5
    Elon Phoenix @ North Carolina Tar Heels (draftkings): spread=-28.0, total=153.5, h1_spread=-16.0, h1_total=73.5
    Elon Phoenix @ North Carolina Tar Heels (betonlineag): spread=-28.0, total=153.0, h1_spread=-16.5, h1_total=73.5
    Elon Phoenix @ North Carolina Tar Heels (lowvig): spread=-28.0, total=153.0, h1_spread=None, h1_total=None
    Elon Phoenix @ North Carolina Tar Heels (betmgm): spread=-27.5, total=152.5, h1_spread=None, h1_total=72.5
    Elon Phoenix @ North Carolina Tar Heels (betrivers): spread=-28.5, total=152.5, h1_spread=None, h1_total=None
    Elon Phoenix @ North Carolina Tar Heels (bovada): spread=-28.0, total=153.5, h1_spread=-16.0, h1_total=73.5
    Elon Phoenix @ North Carolina Tar Heels (betus): spread=-28.0, total=153.5, h1_spread=-16.5, h1_total=73.5
